id,store_name,item_type,item_name,item_link,price_multiplier,description,subjective_input
25,Gautier,Arm Chair,Domino Chaise,http://www.gautier.co.uk/our-products/living-room/sofas/domino,TBD,"Whether used singly or in combination, Domino chaises longues lend a touch of elegance.","TBD, we'll report back when we've had a chance to check this out in person."
26,Gautier,Couch,Lugano Sofa,http://www.gautier.ca/ca/our-products/living-room/sofas/lugano.html,TBD,"With its angled backrest and deep seat, Lugano epitomises comfort.",Excellent for lounging and watching a movie. The seats are also deep enough for a friend to comfortably crash on your sofa for a night.
27,Gautier,Coffee Table,Brem Square Coffee Table,http://www.gautier.ca/ca/our-products/living-room/coffee-table/square-coffee-table_1.html,TBD,"Frame and fronts in Smoked Oak effect foiled particleboard. Edges: 2mm thick flat ABS; Smoked Oak and end-grain effect. Polyurethane varnish on furniture tops. Bronze toughened glass on column units and clear toughened glass on glass shelves in bookcase and dresser. Drawer carcasses in Smoked Oak effect foiled fibreboard mounted on invisible, height adjustable runners, with soft close mechanisms on dresser and TV unit. Clip-on hinges with screw head cover and soft close mechanism. Column and storage units stand on adjustable feet.","TBD, we'll report back when we've had a chance to check this out in person."
28,Gautier,Desk,Tweed Desk,http://www.gautier.co.uk/our-products/child-bedroom/desks/desk,TBD,N/A,"TBD, we'll report back when we've had a chance to check this out in person."
29,Gautier,Bed,Opalia Bed,http://www.gautier.co.uk/our-products/adult-bedroom/beds/bed-140-x-200-cosy-headboard,TBD,"The Cosy version creates a particularly stylish ambiance. It features an ingenious, space saving design and comes in various sizes to fit any room.","If you're ready for a real solid bed, Gautier has you covered. Like all their furniture, this is designed and manufactured in France. Comes in a variety of headboard options, whether you want a minimal look, need extra storage, or want to go for fully upholstered luxury. A variety of kids' beds, loft beds and bunks also available."
30,Gautier,Dining Table,Cocktails Table,http://www.gautier.ca/ca/our-products/dining-room/dining-tables/rectangular-table.html,TBD,"The console table adds a personalised touch to your interior, but is also perfect for entertaining? Fitted with 2 extension leaves, it can be converted into a dining table to seat 4 to 8 guests.","The dinner party isn't dead, but it's definitely in a long hibernation. If you're  accustomed to eating a rushed meal at your kitchen island (or let's be honest, on your couch) but need to seat your guests at a real table on occasion, this is perfect for you. A slim modern console by day, the Cocktail tranforms ingeniously to accommodate your guests when you need it. Worth checking out in store to see the full effect."
31,Gautier,Dining Chair,Folding Chair VASCO,http://www.gautier.co.uk/our-products/living-room/chairs/folding-chair-vasco,TBD,N/A,"TBD, we'll report back when we've had a chance to check this out in person."
32,Gautier,Shelving,Tweed Bookcase,http://www.gautier.co.uk/our-products/living-room/bookcase/bookcase_3,TBD,"The bookcase is fitted with a beige-lacquered magnetic upright for displaying your photos. There?s plenty of room for books, folders and ornaments on the shelves.","TBD, we'll report back when we've had a chance to check this out in person."
33,The Bay,Arm Chair,Patrik Accent Chair,http://www.thebay.com/webapp/wcs/stores/servlet/en/thebay/brands/living/patrik-accent-chair,16,The Patrik Accent chair is inspired by Danish mid- century design. This chair feature÷ American ash painted walnut frame÷ tight upholstered seat and back with tufted buttons and thin-frame design arms. The back and seat are one piece that gives a streamlined feel to the chair.,"TBD, we'll report back when we've had a chance to check this out in person."
34,The Bay,Couch,Cosmo Sofa,http://www.thebay.com/webapp/wcs/stores/servlet/en/thebay/brands/living/cosmo--sofa--with-soft-camel-back-design-and--rolled-arms-0033-1242-38--24,4,"Style, Elegance and Comfort are all rolled into this simple yet versatile Cosmo Sofa with two seat cushions. The soft camel back design, exposed wood legs and slender rolled arms gives the sofa a clean and updated look. Suitable for both Classic and Contemporary rooms. Made in Canada.",A whimsical design to jazz up a room.
35,The Bay,Coffee Table,Enix Square Coffee Table,http://www.thebay.com/webapp/wcs/stores/servlet/en/thebay/brands/living/enix-square-coffee-table,40,Enix Coffee table adds a touch of modern style to your living room. This easy to maintain table features a solid Marine Grade plywood core construction with brushed stainless-steel exterior that gives the piece its sturdiness while allowing it to remain light enough to be moved easily. This versatile table can be used as centerpieces or act as additional seating.,"TBD, we'll report back when we've had a chance to check this out in person."
36,The Bay,Bed,Spencer Storage Bed,http://www.thebay.com/webapp/wcs/stores/servlet/en/thebay/brands/furniture/spencer-queen-size-storage-bed,6,"The Spencer Queen size storage bed is constructed from Elm and Birch Veneers÷ Select Hardwood solids and simulated wood components for strength and durability. It features two spacious drawers where seasonal sweaters÷ extra blankets÷ and other items can be neatly tucked away, metal legs and a fashionable Two Tone finish with a beautiful off white boarder that compliments most interior d‚cor.","TBD, we'll report back when we've had a chance to check this out in person."
37,The Bay,Dining Table,Pierce Dining Table,http://www.thebay.com/webapp/wcs/stores/servlet/en/thebay/brands/furniture/pierce-dining-table,19,"The Pierce rectangular Dining Table has a simple modern design that is ideal for dinner at home. It features a stylishly walnut veneer panel top and solid wooden legs for Strength and durability. The thick, flared legs come with nylon floor glides providing stability and floor protection. This dining table seats up to 6 guests comfortably.","TBD, we'll report back when we've had a chance to check this out in person."
38,The Bay,Dining Chair,Helix Dining Chair,http://www.thebay.com/webapp/wcs/stores/servlet/en/thebay/brands/furniture/helix-dining-chairs-0064-108148,18,"The Helix chair adds a timeless charm to any d‚cor. The chair features a solid steel frame in a polished galvanized steel finish, a solid reclaimed elm wood seat, slim backrest design and long tapered legs.","TBD, we'll report back when we've had a chance to check this out in person."
39,West Elm,Arm Chair,Oliver Chair,http://www.westelm.com/products/oliver-chair-g232/?pkey=cliving-room-seating&cm_src=living-room-seating||NoFacet-_-NoFacet-_--_-,7,"Go straight into its arms. The Oliver Chair's comfy, rounded shape and scaled-down proportions help to create intimate, conversational settings in open areas or small spaces.","TBD, we'll report back when we've had a chance to check this out in person."
40,West Elm,Couch,Ainslie Sofa,http://www.westelm.com/products/ainslie-sofa-h488/?pkey=call-living-room&cm_src=all-living-room||NoFacet-_-NoFacet-_--_-,4,"Easygoing elegance. The Ainslie Sofa's smooth profile, hand-tufted back and slender, pecan-stained legs add up to a seriously sophisticated look. Each sofa is crafted in the USA with hand-built frames and cushions and hand-finished upholstery.",Great for sitting back and relaxing.
41,West Elm,Coffee Table,Rustic Storage Coffee Table,http://www.westelm.com/products/rustic-storage-coffee-table-cafe-h343/?pkey=ccoffee-side-tables&cm_src=coffee-side-tables||NoFacet-_-NoFacet-_--_-,17,"Secret stasher. One side of the Rustic Storage Coffee Table's top pops up to reveal a boatload of hidden storage. Lofted on airy steel legs, the solid mango wood body has enough room to stow anything from toys and remotes to pillows and throws. Each table is subtly one-of-a-kind.","TBD, we'll report back when we've had a chance to check this out in person."
42,West Elm,Desk,Pencil Desk,http://www.westelm.com/products/mrk-pencil-desk-h579/?pkey=coffice-desks&cm_src=office-desks||NoFacet-_-NoFacet-_--_-,4,"Look sharp. Set on retro hairpin legs, our Pencil Desk's slim profile and rounded side drawer help keep small spaces organized. It's made in India of solid mango wood and protected by a warm Chestnut finish.","TBD, we'll report back when we've had a chance to check this out in person."
43,West Elm,Bed,Boerum Bed Frame,http://www.westelm.com/products/boerum-bed-frame-cafe-g795/?pkey=cheadboards-bed-frames&cm_src=headboards-bed-frames||NoFacet-_-NoFacet-_--_-,1,"Town and country. The solid-wood Boerum Bed Frame merges laid-back country living with the cool calm of city sophistication. Every piece is subtly one of a kind, thanks to natural color variations in the mango wood.","TBD, we'll report back when we've had a chance to check this out in person."
44,West Elm,Dining Table,Parker Mid-Century Expandable Dining Table,http://www.westelm.com/products/parker-expandable-dining-table-g830/?pkey=cdining-tables&cm_src=dining-tables||NoFacet-_-NoFacet-_--_-,9,"Room to grow. Bring the beauty of beveled edges, shapely solid wood legs and mid-century design to the dining room with the Parker Expandable Dining Table. Expandable to fit the whole family, it comfortably seats up to eight or ten.","TBD, we'll report back when we've had a chance to check this out in person."
45,West Elm,Dining Chair,Stackable Chair,http://www.westelm.com/products/stackable-chair-g063/?pkey=cdining-chairs-seating&cm_src=dining-chairs-seating||NoFacet-_-NoFacet-_--_-,2,"Space saver. Inspired by mid-century modernist classics, the beautifully-grained Stackable Chair easily stacks when not in use. This adaptable seat works well in the dining room, kitchen or home office.","TBD, we'll report back when we've had a chance to check this out in person."
46,West Elm,Shelving,Tiered Tower Bookcase,http://www.westelm.com/products/tiered-tower-bookcase-h539/?pkey=cliving-room-bookcases&cm_src=living-room-bookcases||NoFacet-_-NoFacet-_--_-,6,"Stylish storage. With cascading mirrored shelves and antiqued-brass-capped feet, the Tiered Tower Bookcase is a dressed-up way to display your favorite books or knickknacks.","TBD, we'll report back when we've had a chance to check this out in person."
47,BoConcept,Arm Chair,Fusion Chair,http://www.boconcept.com/en-ca/furniture/living/armchairs/10318/fusion-chair,36,Can be customized and offers a great variety of fabrics and leathers as well as swivel functions or fixed bases. Lean back in an armchair with tilting function or put your feet up on a matching footstool.,"TBD, we'll report back when we've had a chance to check this out in person."
48,BoConcept,Couch,Carlton Sofa,http://www.boconcept.com/en-ca/furniture/living/sofas/carlton/9201/carlton-sofa,13,"Carlton is modular and you can choose from different seating units, two different leg designs and more than 90 different fabrics and leathers. Enjoy an exclusive and delicate look with a thin seating frame made of strong metal and extra soft cushions.","A sofa as comfortable as you can imagine. Totally custom, totally awesome."
49,BoConcept,Coffee Table,Occa Coffee Table,http://www.boconcept.com/en-ca/furniture/living/coffee-tables/8937/occa-coffee-table,20,"Most of our coffee tables can be customized and come with a choice of sizes, colours and legs. Go with a coffee table you can turn into a dining table when space is limited.","TBD, we'll report back when we've had a chance to check this out in person."
50,BoConcept,Desk,Cupertino Desk,http://www.boconcept.com/en-ca/furniture/working/desks-and-chairs/9070/cupertino-desk,13,Our desks and chairs come in a variety of colours and a choice of bases. Go with our 'all-in-one' desk with integrated Bluetooth enabled speakers and storage space as well as easy cable management.,"TBD, we'll report back when we've had a chance to check this out in person."
51,BoConcept,Bed,Custom Bed,http://www.boconcept.com/en-ca/furniture/sleeping/beds,4,Our customizable bed collection come in different colours and with a choice of headboards. Make it personal and enjoy clever under-bed storage solutions or spacious built-in compartments.,"TBD, we'll report back when we've had a chance to check this out in person."
52,BoConcept,Dining Table,Lugo Table,http://www.boconcept.com/en-ca/furniture/dining/dining-tables/984/lugo-table,14,Most of our dining tables can be customized. Choose between different tabletops and bases and create a personal look.,"TBD, we'll report back when we've had a chance to check this out in person."
53,BoConcept,Dining Chair,Menton Chair,http://www.boconcept.com/en-ca/furniture/dining/dining-chairs/7245/menton-chair,5,"Our customizable dining chairs offer you a great variety of materials, colours, and legs. Some of our models come with a choice of armrest for additional comfort. Play with colours and materials and get a personal look.","TBD, we'll report back when we've had a chance to check this out in person."
54,BoConcept,Shelving,Fusion Wall Mounted System,http://www.boconcept.com/en-ca/furniture/storing/shelves-and-bookcases/10362/fusion-wall-mounted-wall-system,14,Our range includes shelves and bookcases in different shapes and materials. Combine several units to create a piece of art on a wall.,"TBD, we'll report back when we've had a chance to check this out in person."
